timestamp,title,url,occ_relevant,gwa,iwa,dwa,task,deployability,workflow_auto,notes
2025-12-10 0:59:26,Alist MCP Server,https://mcp.so/server/alist-mcp-server/JavanShen,Yes,Documenting/Recording Information,,,,,3,Doesn't really do anything itself. 
2025-12-11 19:52:29,Amadeus MCP Server,https://mcp.so/server/amadeus-mcp/ben4mn,Yes,Processing Information,"Compile records, documentation, or other data.",Compile operational data.,"Compile information about flights from flight plans, pilot reports, radar, or observations.",6,3,Anything flight related for travelling it augments
2025-12-11 19:33:09,MCP Server,https://mcp.so/server/AzureAI.MCP/RobertEichenseer,No,,,,,,5,Dud example
2025-12-12 0:58:43,Claude MCP: Enhance Your Experience with Claude.ai,https://mcp.so/server/claude-mcp/emmapoderoso,Yes,Working with Computers,"Set up computer systems, networks, or other information systems.",Configure computer networks.,Configure servers to meet functional specifications.; Coordinate and link the computer systems within an organization to increase compatibility so that information can be shared.,2; 2,4,Very broad use case. Would need an intelligent architect to use well.
2025-12-12 1:06:37,comfy-ui-mcp-server MCP server,https://mcp.so/server/comfy-ui-mcp-server/jonpojonpo,Yes,Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.,"Search electronic sources, such as databases or repositories, or manual sources for information.",6,5,"Very general, just on notes. So not niche, but many probably wouldn't use a ton"
2025-12-11 22:54:01,mentor-mcp-server,https://mcp.so/server/cyanheads_mentor-mcp-server/MCP-Mirror,Yes,Analyzing Data or Information; Making Decisions and Solving Problems; Providing Consultation and Advice to Others,"Evaluate designs, specifications, or other technical data.; Determine resource needs of projects or operations.; Advise others on the design or use of technologies.",Provide technical support for software maintenance or use.; Recommend changes to improve computer or information systems.; Identify information technology project resource requirements.; Analyze project data to determine specifications or requirements.,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.; Provide staff and users with assistance solving computer-related problems, such as malfunctions and program problems.; Provide technical guidance or support for the development or troubleshooting of systems.; Provide technical support for existing reports, dashboards, or other tools.; Provide technical support to junior staff or clients.; Provide feedback and recommendations to developers on software usability and functionality.",3; 3; 3; 4; 4; 3,6,
2025-12-11 20:37:41,CyberChef API MCP Server,https://mcp.so/server/cyberchef-api-mcp-server/slouchd,Yes,Repairing and Maintaining Mechanical Equipment,"Maintain electronic, computer, or other technical equipment.",Maintain computer equipment or software.,Maintain cyber defense software or hardware to support responses to cyber incidents.,2,4,Anything relating to cyber security or encrypting is more augmented
2025-12-10 0:50:38,DART-mcp-server,https://mcp.so/server/DART-mcp-server/snaiws,Yes,Analyzing Data or Information; Getting Information,Analyze business or financial data.; Gather information from physical or electronic sources.,"Retrieve information from electronic sources.; Search files, databases or reference materials to obtain needed information.","Search electronic sources, such as databases or repositories, or manual sources for information.; Conduct searches to find needed information, using such sources as the Internet.",5; 6,7,"Only fetches data, use cases also include human use "
2025-12-12 0:53:23,DiceDB MCP,https://mcp.so/server/dicedb-mcp/pottekkat,Yes,Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.,"Search electronic sources, such as databases or repositories, or manual sources for information.",5,4,It's quite general. But would be very useful for any web that uses these softwares which might be a fair amount according to Chat GPT.
2025-12-10 1:21:12,MCP Graph API Integration,https://mcp.so/server/graph_api_mcp/ovaismehboob,Yes,Performing Administrative Activities,Perform administrative or clerical activities.,File documents or records.,"Add new material to file records or create new records as necessary.; File and maintain records.; File and retrieve corporate documents, records, and reports.",5; 5; 5,4,
2025-12-11 20:05:07,Hubble AI for Solana,https://mcp.so/server/hubble-ai-mcp/HubbleVision,Yes,Documenting/Recording Information,Present research or technical information.,Prepare analytical reports.,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",4,1,Very specific use case for financial research
2025-12-11 22:32:33,iRacing,https://mcp.so/server/iracing-data-mcp-server/emilioSp,Yes,Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.,"Search electronic sources, such as databases or repositories, or manual sources for information.",5,1,Sport analytics for racing would be the domain
2025-12-11 18:52:44,Filament MCP Server - Laravel Loop,https://mcp.so/server/laravel-loop-filament/kirschbaum-development,Yes,Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.,"Implement electronic document processing, retrieval, and distribution systems in collaboration with other information technology specialists.; Search electronic sources, such as databases or repositories, or manual sources for information.",3; 4,4,Depends on if one is using laravel and filament
2025-12-12 0:41:52,mcp_py_exam,https://mcp.so/server/mcp_py_exam/istanadodan,Yes,Working with Computers,"Process digital or online data.; Set up computer systems, networks, or other information systems.",Configure computer networks.,Configure servers to meet functional specifications.; Coordinate and link the computer systems within an organization to increase compatibility so that information can be shared.,2; 2,1,Touched on sharing information but for weirdly specific ways just using Gemini protocol
2025-12-12 0:46:24,mcp_test_with_ollama,https://mcp.so/server/mcp_test_with_ollama/MasudOsmanmr9,No,,,,,,5,Video game players or content creators aren't in O*NET. Likely are under self employed or something like that. 
2025-12-12 0:44:14,MCP Chat Adapter,https://mcp.so/server/mcp-chat-adapter/aiamblichus,Yes,"Analyzing Data or Information; Controlling Machines and Processes; Documenting/Recording Information; Getting Information; Interpreting the Meaning of Information for Others; Making Decisions and Solving Problems; Organizing, Planning, and Prioritizing Work; Performing Administrative Activities; Processing Information; Updating and Using Relevant Knowledge",,,,,6,Basically all use cases of LLMs. It just makes them easier to use
2025-12-11 23:38:23,mcp-fastify-server,https://mcp.so/server/mcp-fastify-server/bgaurav7,Yes,Working with Computers,"Set up computer systems, networks, or other information systems.",Configure computer networks.; Install programs onto computer or computer-controlled equipment.,Configure servers to meet functional specifications.; Develop or implement electronic maintenance programs or computer information management systems.,3; 3,3,
2025-12-11 22:26:13,Gitee MCP Server,https://mcp.so/server/mcp-gitee/oschina,Yes,Getting Information,Gather information from physical or electronic sources.,Retrieve information from electronic sources.,"Retrieve electronic assets from repository for distribution to users, collecting and returning to repository, if necessary.; Search electronic sources, such as databases or repositories, or manual sources for information.",3; 4,3,
