task,occupation,n_ratings,mean_rating,median_rating,max_rating,min_rating,p25_rating,p75_rating
"Document, design, code, or test Geographic Information Systems (GIS) models, internet mapping solutions, or other applications.",Geographic Information Systems Technologists and Technicians,4222,2.22,2.0,5,1,2.0,3.0
"Plan, install, repair, or troubleshoot telehealth technology applications or systems in homes.",Health Informatics Specialists,3852,1.36,1.0,3,1,1.0,2.0
Develop and document database architectures.,Database Architects,3819,2.3,2.0,5,1,2.0,3.0
Provide training or technical assistance in Web site implementation or use.,Web Administrators,3630,1.58,2.0,4,1,1.0,2.0
"Provide technical support for existing reports, dashboards, or other tools.",Business Intelligence Analysts,3611,1.92,2.0,4,1,1.0,2.0
Provide technical guidance or support for the development or troubleshooting of systems.,Computer Systems Engineers/Architects,3611,1.82,2.0,4,1,1.0,2.0
"Inform Web site users of problems, problem resolutions, or application changes and updates.",Web Administrators,3611,1.8,2.0,4,1,1.0,2.0
"Provide staff and users with assistance solving computer-related problems, such as malfunctions and program problems.",Computer Systems Analysts,3611,1.74,2.0,4,1,1.0,2.0
Answer user inquiries regarding computer software or hardware operation to resolve problems.,Computer User Support Specialists,3611,1.72,2.0,4,1,1.0,2.0
Provide technical support to junior staff or clients.,Database Administrators,3611,1.71,2.0,4,1,1.0,2.0
Provide technical support to junior staff or clients.,Database Architects,3611,1.71,2.0,4,1,1.0,2.0
"Provide technical support to users or clients regarding the maintenance, development, or operation of Geographic Information Systems (GIS) databases, equipment, or applications.",Geographic Information Systems Technologists and Technicians,3611,1.7,2.0,4,1,1.0,2.0
Consult with end users regarding problems in accessing electronic content.,Document Management Specialists,3611,1.58,2.0,4,1,1.0,2.0
Provide technical expertise in Geographic Information Systems (GIS) technology to clients or users.,Geographic Information Systems Technologists and Technicians,3611,1.58,2.0,4,1,1.0,2.0
"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",Software Developers,3611,1.52,2.0,3,1,1.0,2.0
Create or review technical design documentation to ensure the accurate development of reporting solutions.,Business Intelligence Analysts,3523,2.19,2.0,5,1,2.0,3.0
"Document design specifications, installation instructions, and other system-related information.",Computer Systems Engineers/Architects,3523,2.15,2.0,5,1,1.0,3.0
Document technical functions and specifications for new or proposed content management systems.,Document Management Specialists,3523,2.12,2.0,5,1,1.0,3.0
Document technical specifications and operating standards for telecommunications equipment.,Telecommunications Engineering Specialists,3523,1.91,2.0,5,1,1.0,3.0
"Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.","Electronics Engineers, Except Computer",2999,1.92,2.0,5,1,1.0,3.0
"Prepare reports, sketches, working drawings, specifications, proposals, and budgets for proposed sites or systems.",Agricultural Engineers,2949,1.71,2.0,4,1,1.0,2.0
"Prepare specifications, designs, or sketches for machines, components, or systems related to the generation, transmission, or use of mechanical or fluid energy.",Mechanical Engineering Technologists and Technicians,2945,1.69,2.0,4,1,1.0,2.0
"Prepare, maintain, or review validation and compliance documentation, such as engineering change notices, schematics, or protocols.",Validation Engineers,2913,1.93,2.0,5,1,1.0,3.0
"Compile and maintain records documenting engineering schematics, installed equipment, installation or operational problems, resources used, repairs, or corrective action performed.",Electrical and Electronic Engineering Technologists and Technicians,2913,1.9,2.0,5,1,1.0,3.0
Create or maintain photonic design histories.,Photonics Engineers,2913,1.7,2.0,5,1,1.0,2.0
Assemble documentation packages and produce drawing sets to be checked by an engineer or an architect.,Electrical and Electronics Drafters,2911,1.9,2.0,5,1,1.0,3.0
Design electrical and mechanical systems for avionic instrumentation applications.,Aerospace Engineering and Operations Technologists and Technicians,2898,1.3,1.0,3,1,1.0,2.0
"Create or maintain formal engineering documents, such as schematics, bills of materials, components or materials specifications, or packaging requirements.",Microsystems Engineers,2896,1.94,2.0,5,1,1.0,3.0
"Prepare detailed reports or design statements, based on results of validation and qualification tests or reviews of procedures and protocols.",Validation Engineers,2896,1.88,2.0,5,1,1.0,3.0
Record or oversee recording of information to ensure currency of engineering drawings and documentation of production problems.,Industrial Engineers,2896,1.87,2.0,5,1,1.0,3.0
Document equipment or process details of radio frequency identification device (RFID) technology.,Radio Frequency Identification Device Specialists,2896,1.86,2.0,5,1,1.0,3.0
Assist nanoscientists or engineers in writing process specifications or documentation.,Nanotechnology Engineering Technologists and Technicians,2896,1.82,2.0,4,1,1.0,2.0
"Prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software, product development or introduction schedules, product costs, or information about product performance weaknesses.","Electronics Engineers, Except Computer",2896,1.81,2.0,4,1,1.0,2.0
"Prepare, or supervise preparation of, all data, charts, plots, maps, records, and documents related to surveys.",Surveyors,2896,1.78,2.0,5,1,1.0,2.0
Write performance requirements for product development or engineering projects.,Mechanical Engineers,2896,1.72,2.0,4,1,1.0,2.0
Make system device lists or event timing charts.,Robotics Engineers,2896,1.68,2.0,5,1,1.0,2.0
"Prepare information regarding design, structure specifications, materials, color, equipment, estimated costs, or construction time.","Architects, Except Landscape and Naval",2896,1.62,1.0,4,1,1.0,2.0
Complete detailed source and method notes describing the location of routine or complex land parcels.,Surveying and Mapping Technicians,2896,1.6,1.0,5,1,1.0,2.0
